model,schedule_key,schedule_name,abs_rel,rmse,rot_err_deg,trans_err_deg,delta_vs_ctrl_absrel_pct,delta_vs_pre_absrel_pct
Pretrained,uniform_K12,Uniform K=12,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,-0.6279419595913112,0.0
Uniform_FT,uniform_K12,Uniform K=12,0.005837496226498236,9.68503927787145,0.0,16.79348423313599,0.0,0.6319099875499858
Mild_Rand_FT,uniform_K12,Uniform K=12,0.005853530225188782,9.69020788272222,0.11944405724589888,16.692353645948597,0.27467253199688907,0.9083182027096195
Mod_Rand_FT,uniform_K12,Uniform K=12,0.00585153631788368,9.688593514760335,0.0,12.859044293773163,0.24051563959410943,0.8739454694923102
Pretrained,power_g075,Power gamma=0.75,0.005865830151985089,9.719623907407126,0.0,14.383757269940508,-1.3069565932718834,0.0
Uniform_FT,power_g075,Power gamma=0.75,0.005943509237840773,9.691665216286976,0.0,15.503854675058921,0.0,1.324264150904465
Mild_Rand_FT,power_g075,Power gamma=0.75,0.00593884961757188,9.698921191692353,0.0,18.89814183847884,-0.07839846936260862,1.2448274787172298
Mod_Rand_FT,power_g075,Power gamma=0.75,0.005931537342257797,9.693599144617716,0.0,17.82784707785869,-0.20142806385751716,1.120168647407422
Pretrained,power_g125,Power gamma=1.25,0.005864398604414115,9.84349027077357,0.0,15.014457491073665,0.42376424745995694,0.0
Uniform_FT,power_g125,Power gamma=1.25,0.005839652246019492,9.764733596642811,0.0,18.336057944096904,0.0,-0.42197606376886576
Mild_Rand_FT,power_g125,Power gamma=1.25,0.005843438468097398,9.770038084189098,0.0,18.229954492275958,0.06483643063654651,-0.35741322735020753
Mod_Rand_FT,power_g125,Power gamma=1.25,0.005845986725762487,9.768500844637552,0.0,17.32411422059986,0.10847357815377554,-0.3139602181504127
Pretrained,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,9.80394605398178,0.0,17.386047681270465,-0.8227116939807464,0.0
Uniform_FT,cosine_endpoints,Cosine endpoints-dense,0.005918673938140272,9.759398742516836,0.0,15.934870814445455,0.0,0.8295363868411136
Mild_Rand_FT,cosine_endpoints,Cosine endpoints-dense,0.005913924309425055,9.764213252067567,0.0,16.25660052802545,-0.08024819013276327,0.7486225087714177
Mod_Rand_FT,cosine_endpoints,Cosine endpoints-dense,0.005945264051357905,9.774541632334392,0.0,17.26533657946615,0.44925795026965293,1.2825210952790298
Pretrained,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,9.769120542208354,0.0,14.975059556995271,-1.1346540001256993,0.0
Uniform_FT,best_random_v0,Best Random (V0 seed=999),0.0058887853403575725,9.72882467508316,0.0,17.42999684653525,0.0,1.147676153509989
Mild_Rand_FT,best_random_v0,Best Random (V0 seed=999),0.005897312638505051,9.731269689400992,0.0,17.54581158093537,0.14480572231149855,1.2941437765653747
Mod_Rand_FT,best_random_v0,Best Random (V0 seed=999),0.005881437558370331,9.734015611807504,0.0,17.75650189220955,-0.12477585040985241,1.0214682804196435
Pretrained,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,9.738886165618895,0.0,14.469828850368302,-0.8371157642089627,0.0
Uniform_FT,sampled_mild,Sampled Mild (sigma=0.2),0.005860375915654004,9.688742991288503,0.11944405724589888,19.100754302022445,0.0,0.8441825494087646
Mild_Rand_FT,sampled_mild,Sampled Mild (sigma=0.2),0.005861384487555673,9.70156780083974,0.11944405724589888,18.559149804945342,0.017210020588859922,0.8615378539881853
Mod_Rand_FT,sampled_mild,Sampled Mild (sigma=0.2),0.005869537114631384,9.704470252990724,0.11944405724589888,17.61044798313765,0.15632442541626718,1.0018266383448593
Pretrained,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,9.734042970339457,0.0,13.613134561866758,-0.7314860492380937,0.0
Uniform_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.0058705464665157105,9.687460307280222,0.11944405724589888,13.83168544837408,0.0,0.7368761958106046
Mild_Rand_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.00585852402728051,9.695356980959575,0.11944405724589888,14.953763971205595,-0.20479250617934855,0.5305746224024165
Mod_Rand_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.005865123382924746,9.685612229506175,0.11944405724589888,16.792987440927536,-0.09237783265828828,0.6438176528932517
