step,scan_name,video_idx,sample_seed,sampled_k
0,scan29,8,42,15
1,scan12,4,43,10
2,scan33,9,44,11
3,scan15,5,45,14
4,scan29,8,46,10
5,scan110,3,47,14
6,scan29,8,48,9
7,scan33,9,49,12
8,scan15,5,50,13
9,scan12,4,51,11
10,scan33,9,52,10
11,scan33,9,53,10
12,scan110,3,54,13
13,scan23,6,55,13
14,scan15,5,56,12
15,scan11,2,57,13
16,scan33,9,58,9
17,scan23,6,59,11
18,scan11,2,60,13
19,scan15,5,61,11
20,scan10,1,62,15
21,scan23,6,63,11
22,scan48,11,64,10
23,scan10,1,65,15
24,scan110,3,66,11
25,scan29,8,67,14
26,scan12,4,68,13
27,scan48,11,69,11
28,scan110,3,70,12
29,scan15,5,71,11
30,scan110,3,72,10
31,scan29,8,73,13
32,scan15,5,74,11
33,scan48,11,75,11
34,scan29,8,76,11
35,scan11,2,77,10
36,scan12,4,78,14
37,scan48,11,79,10
38,scan11,2,80,13
39,scan48,11,81,15
40,scan15,5,82,10
41,scan11,2,83,13
42,scan12,4,84,12
43,scan29,8,85,14
44,scan33,9,86,12
45,scan110,3,87,12
46,scan10,1,88,10
47,scan12,4,89,10
48,scan11,2,90,10
49,scan33,9,91,12
50,scan12,4,92,13
51,scan11,2,93,12
52,scan23,6,94,14
53,scan23,6,95,11
54,scan12,4,96,11
55,scan23,6,97,13
56,scan11,2,98,12
57,scan11,2,99,12
58,scan12,4,100,11
59,scan33,9,101,10
60,scan29,8,102,13
61,scan48,11,103,11
62,scan33,9,104,11
63,scan15,5,105,13
64,scan11,2,106,9
65,scan15,5,107,13
66,scan33,9,108,9
67,scan48,11,109,12
68,scan48,11,110,15
69,scan10,1,111,12
70,scan48,11,112,13
71,scan29,8,113,13
72,scan48,11,114,14
73,scan33,9,115,14
74,scan10,1,116,9
75,scan33,9,117,12
76,scan33,9,118,11
77,scan110,3,119,14
78,scan10,1,120,10
79,scan33,9,121,11
80,scan110,3,122,10
81,scan110,3,123,13
82,scan10,1,124,14
83,scan15,5,125,14
84,scan29,8,126,12
85,scan48,11,127,12
86,scan29,8,128,14
87,scan48,11,129,12
88,scan33,9,130,12
89,scan11,2,131,12
90,scan10,1,132,14
91,scan29,8,133,9
92,scan29,8,134,9
93,scan33,9,135,13
94,scan15,5,136,11
95,scan110,3,137,10
96,scan33,9,138,8
97,scan23,6,139,9
98,scan110,3,140,13
99,scan10,1,141,10
100,scan110,3,142,11
101,scan15,5,143,11
102,scan110,3,144,12
103,scan10,1,145,12
104,scan15,5,146,14
105,scan29,8,147,11
106,scan29,8,148,12
107,scan48,11,149,11
108,scan110,3,150,12
109,scan29,8,151,8
110,scan10,1,152,13
111,scan12,4,153,10
112,scan12,4,154,12
113,scan15,5,155,12
114,scan29,8,156,14
115,scan29,8,157,9
116,scan12,4,158,10
117,scan29,8,159,11
118,scan110,3,160,12
119,scan23,6,161,14
120,scan11,2,162,13
121,scan48,11,163,15
122,scan15,5,164,8
123,scan23,6,165,15
124,scan12,4,166,8
125,scan29,8,167,12
126,scan48,11,168,10
127,scan29,8,169,12
128,scan10,1,170,9
129,scan10,1,171,13
130,scan48,11,172,13
131,scan48,11,173,16
132,scan12,4,174,16
133,scan48,11,175,13
134,scan110,3,176,10
135,scan29,8,177,11
136,scan23,6,178,15
137,scan33,9,179,11
138,scan48,11,180,11
139,scan15,5,181,11
140,scan10,1,182,14
141,scan110,3,183,13
142,scan33,9,184,11
143,scan23,6,185,14
144,scan33,9,186,12
145,scan48,11,187,13
146,scan12,4,188,10
147,scan10,1,189,12
148,scan10,1,190,9
149,scan12,4,191,14
150,scan29,8,192,13
151,scan11,2,193,12
152,scan110,3,194,13
153,scan10,1,195,12
154,scan15,5,196,16
155,scan10,1,197,9
156,scan33,9,198,11
157,scan10,1,199,9
158,scan10,1,200,13
159,scan11,2,201,13
160,scan11,2,202,12
161,scan23,6,203,14
162,scan29,8,204,14
163,scan15,5,205,15
164,scan10,1,206,10
165,scan10,1,207,12
166,scan110,3,208,10
167,scan11,2,209,12
168,scan15,5,210,12
169,scan23,6,211,13
170,scan29,8,212,10
171,scan12,4,213,12
172,scan29,8,214,13
173,scan33,9,215,13
174,scan10,1,216,11
175,scan23,6,217,15
176,scan33,9,218,16
177,scan15,5,219,12
178,scan12,4,220,13
179,scan11,2,221,12
180,scan23,6,222,12
181,scan23,6,223,13
182,scan10,1,224,11
183,scan48,11,225,14
184,scan23,6,226,12
185,scan110,3,227,13
186,scan12,4,228,11
187,scan12,4,229,14
188,scan110,3,230,12
189,scan110,3,231,10
190,scan110,3,232,14
191,scan12,4,233,15
192,scan29,8,234,12
193,scan12,4,235,14
194,scan48,11,236,14
195,scan10,1,237,11
196,scan33,9,238,11
197,scan29,8,239,11
198,scan11,2,240,14
199,scan33,9,241,12
