model,iteration,relative_hidden_drift
B1_Uniform_FT,4,0.00827027497702591
B1_Uniform_FT,8,0.01379539414865504
B1_Uniform_FT,12,0.0168379496024022
B1_Uniform_FT,14,0.017396519748690047
B1_Uniform_FT,16,0.018231644406369003
B1_Mild_Rand_FT,4,0.006720037342714385
B1_Mild_Rand_FT,8,0.012397544950137914
B1_Mild_Rand_FT,12,0.015874987225127313
B1_Mild_Rand_FT,14,0.01658569260399642
B1_Mild_Rand_FT,16,0.017514634569433397
B2_Uniform_FT,4,0.008838137890543466
B2_Uniform_FT,8,0.015598606178680318
B2_Uniform_FT,12,0.019582433219344657
B2_Uniform_FT,14,0.02026484010917889
B2_Uniform_FT,16,0.021214643165068107
B2_Mild_Rand_FT,4,0.007439436038682525
B2_Mild_Rand_FT,8,0.01462884574687194
B2_Mild_Rand_FT,12,0.01891485439755635
B2_Mild_Rand_FT,14,0.01965457156580783
B2_Mild_Rand_FT,16,0.020709550661973462
