model,schedule_key,schedule_name,abs_rel,rmse,rot_err_deg,trans_err_deg,delta_vs_pre_pct
Pretrained,uniform_K12,Uniform K=12,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.0
Pretrained,power_g075,Power gamma=0.75,0.005865830151985089,9.719623907407126,0.0,14.383757269940508,0.0
Pretrained,power_g125,Power gamma=1.25,0.005864398604414115,9.84349027077357,0.0,15.014457491073665,0.0
Pretrained,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,9.80394605398178,0.0,17.386047681270465,0.0
Pretrained,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,9.769120542208354,0.0,14.975059556995271,0.0
Pretrained,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,9.738886165618895,0.0,14.469828850368302,0.0
Pretrained,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,9.734042970339457,0.0,13.613134561866758,0.0
B1_Uniform_FT,uniform_K12,Uniform K=12,0.005972780714121958,9.658190882205963,0.0,16.1138725133135,2.9640633377250607
B1_Uniform_FT,power_g075,Power gamma=0.75,0.006110394272642831,9.667347435156504,0.0,14.867971998978907,4.169301093298403
B1_Uniform_FT,power_g125,Power gamma=1.25,0.005912491648147503,9.689001222451527,0.0,16.29758962537413,0.8200848369547881
B1_Uniform_FT,cosine_endpoints,Cosine endpoints-dense,0.0060960926037902635,9.737014587720235,0.0,16.47093007481319,3.852011013899479
B1_Uniform_FT,best_random_v0,Best Random (V0 seed=999),0.006036180649728825,9.687046599388124,0.0,13.960869504786803,3.679385522614719
B1_Uniform_FT,sampled_mild,Sampled Mild (sigma=0.2),0.006003687406579654,9.661938361326852,0.11944405724589888,14.846760692654305,3.3102581664575337
B1_Uniform_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.006015496603989353,9.652385512987774,0.11944405724589888,13.956617247789051,3.224178551142188
B1_Mild_Rand_FT,uniform_K12,Uniform K=12,0.0059863817334796,9.66104730765025,0.11944405724589888,13.201766123302344,3.1985297086880373
B1_Mild_Rand_FT,power_g075,Power gamma=0.75,0.0060772255645133565,9.675494404633842,0.0,17.86430981240179,3.6038447594110394
B1_Mild_Rand_FT,power_g125,Power gamma=1.25,0.005923288109867524,9.69193113644918,0.0,18.42761741565948,1.0041866084798992
B1_Mild_Rand_FT,cosine_endpoints,Cosine endpoints-dense,0.0061118529643863434,9.74450184504191,0.0,16.811336758362337,4.120501873304973
B1_Mild_Rand_FT,best_random_v0,Best Random (V0 seed=999),0.006043038148588191,9.701515483856202,0.0,17.472415768392125,3.7971721345831733
B1_Mild_Rand_FT,sampled_mild,Sampled Mild (sigma=0.2),0.005963519537666192,9.648410522937775,0.11944405724589888,17.992306588948345,2.619057471548218
B1_Mild_Rand_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.006015479153332612,9.663694206873576,0.11944405724589888,16.81220730866074,3.223879102929375
B2_Uniform_FT,uniform_K12,Uniform K=12,0.00610407922649756,9.64759019613266,0.11944405724589888,18.392967074925366,5.2275029300118465
B2_Uniform_FT,power_g075,Power gamma=0.75,0.006218356809889277,9.669189977645875,0.0,18.041287105454167,6.009834051960861
B2_Uniform_FT,power_g125,Power gamma=1.25,0.006014500523451717,9.673983589808145,0.0,16.78065632856844,2.5595449621146242
B2_Uniform_FT,cosine_endpoints,Cosine endpoints-dense,0.006254954907732706,9.73558149735133,0.0,15.89637779816744,6.558362575630381
B2_Uniform_FT,best_random_v0,Best Random (V0 seed=999),0.006195650955972572,9.701703612009684,0.11944405724589888,15.407237600939052,6.418498932217148
B2_Uniform_FT,sampled_mild,Sampled Mild (sigma=0.2),0.006134035612922162,9.652952980995178,0.11944405724589888,15.725834077517437,5.553264162076321
B2_Uniform_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.006188656215090305,9.661413447062175,0.11944405724589888,17.612214170227748,6.195547299364433
B2_Mild_Rand_FT,uniform_K12,Uniform K=12,0.0061002336054419475,9.648127524058026,0.0,16.445341805398932,5.1612087215191735
B2_Mild_Rand_FT,power_g075,Power gamma=0.75,0.006214827431055407,9.67011185089747,0.0,17.94726723033184,5.949665606192352
B2_Mild_Rand_FT,power_g125,Power gamma=1.25,0.006004935964786759,9.672513202826181,0.0,18.542839782338184,2.3964496592517026
B2_Mild_Rand_FT,cosine_endpoints,Cosine endpoints-dense,0.006239582586567849,9.74852571884791,0.0,18.94525149680188,6.296482290883826
B2_Mild_Rand_FT,best_random_v0,Best Random (V0 seed=999),0.0061700645213325815,9.703252426783246,0.11944405724589888,16.006935230575714,5.979018079153552
B2_Mild_Rand_FT,sampled_mild,Sampled Mild (sigma=0.2),0.006132043804973363,9.655964414278667,0.11944405724589888,16.262633614776018,5.518989527260576
B2_Mild_Rand_FT,sampled_moderate,Sampled Moderate (sigma=0.5),0.006162045787399014,9.66590121189753,0.11944405724589888,16.001856734131803,5.738920071363599
