model,target_cv,actual_cv,abs_rel,rmse,rot_err_deg,trans_err_deg,delta_vs_pre_pct
Pretrained,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.0
Pretrained,0.1,0.09824806871530842,0.005800574210782846,9.744169584910075,0.0,15.400360547599988,0.0
Pretrained,0.2,0.20095647148470905,0.005814491868174325,9.733007272084555,0.0,15.512082278244439,0.0
Pretrained,0.4,0.3996253566069315,0.005823914310894907,9.75726490020752,0.0,18.71586023652528,0.0
Pretrained,0.6,0.601004662459093,0.0058521409286186096,9.75883533557256,0.0,16.676145117462333,0.0
B1_Uniform_FT,0.0,0.0,0.005972780714121958,9.658190882205963,0.0,16.1138725133135,2.9640633377250607
B1_Uniform_FT,0.1,0.09824806871530842,0.005989208615695437,9.652005060513815,0.0,14.197396906687596,3.2519953724914474
B1_Uniform_FT,0.2,0.20095647148470905,0.005979225136494885,9.653865877787272,0.11944405724589888,15.916895730012191,2.8331498616797375
B1_Uniform_FT,0.4,0.3996253566069315,0.005994537430039296,9.655220500628154,0.0,16.103346972133664,2.9296983100386766
B1_Uniform_FT,0.6,0.601004662459093,0.006034708469330023,9.668599033355713,0.11944405724589888,17.170840703302353,3.1196709535583356
B1_Mild_Rand_FT,0.0,0.0,0.0059863817334796,9.66104730765025,0.11944405724589888,13.201766123302344,3.1985297086880373
B1_Mild_Rand_FT,0.1,0.09824806871530842,0.0059832524857483796,9.654348945617675,0.11944405724589888,14.03447665787933,3.149313642534694
B1_Mild_Rand_FT,0.2,0.20095647148470905,0.005979055317584426,9.655473613739014,0.11944405724589888,19.19982560763008,2.8302292468726478
B1_Mild_Rand_FT,0.4,0.3996253566069315,0.0059984966763295235,9.668046538035076,0.0,16.28628745966915,2.9976808743223016
B1_Mild_Rand_FT,0.6,0.601004662459093,0.006031391629949212,9.668783815701804,0.11944405724589888,16.25350296964644,3.0629935867404785
B2_Uniform_FT,0.0,0.0,0.00610407922649756,9.64759019613266,0.11944405724589888,18.392967074925366,5.2275029300118465
B2_Uniform_FT,0.1,0.09824806871530842,0.006115280565184852,9.64484547773997,0.11944405724589888,15.878507181166261,5.425434499518848
B2_Uniform_FT,0.2,0.20095647148470905,0.006130180562225481,9.65474374294281,0.11944405724589888,15.557936733226999,5.429342773339861
B2_Uniform_FT,0.4,0.3996253566069315,0.006122638432619473,9.647880534331003,0.0,14.363384155003772,5.129267117919929
B2_Uniform_FT,0.6,0.601004662459093,0.006154561950825155,9.66710710922877,0.11944405724589888,14.94460874695549,5.167698896785308
B2_Mild_Rand_FT,0.0,0.0,0.0061002336054419475,9.648127524058026,0.0,16.445341805398932,5.1612087215191735
B2_Mild_Rand_FT,0.1,0.09824806871530842,0.006099556273935984,9.646768780549367,0.11944405724589888,16.923042805585112,5.154352867296343
B2_Mild_Rand_FT,0.2,0.20095647148470905,0.006110676696213584,9.64609987338384,0.11944405724589888,19.2695493403878,5.093907339701164
B2_Mild_Rand_FT,0.4,0.3996253566069315,0.006118247801593194,9.655767778555553,0.11944405724589888,14.94424563568972,5.053877426521735
B2_Mild_Rand_FT,0.6,0.601004662459093,0.006145216749670605,9.667112489541372,0.11944405724589888,14.945307243632547,5.008010309846997
