sequence_id,scene,subset,seq_view_idx,dtu_frame_id,K,depth_abs_rel,depth_rmse_mm,depth_mae_mm,depth_delta1,pose_rot_error_deg,pose_trans_error_deg,geom_l2_error_mm,hidden_state_delta,depth_map_delta,runtime_sec,peak_vram_mb
scan1_subset_middle,scan1,subset_middle,0,24,8,0.003353,5.9349,2.1568,0.999678,0.0,0.0,645.3658,0.094393,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,1,0,8,0.005739,16.7995,3.9233,0.997185,0.0193,0.5898,644.578,0.104771,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,2,1,8,0.004506,9.1926,2.8942,0.998342,0.0131,0.277,652.7516,0.102877,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,3,2,8,0.0035,3.5553,2.2795,1.0,0.0084,0.1948,652.1508,0.103869,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,4,3,8,0.003054,3.571,1.9997,0.999944,0.0063,0.2624,655.3752,0.1038,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,5,4,8,0.003317,6.151,2.1273,0.9994,0.0086,0.1887,647.4816,0.105163,0.0,1.4745,2100.86
scan1_subset_middle,scan1,subset_middle,0,24,10,0.003841,6.2072,2.4674,0.99962,0.0,0.0,645.3544,0.080759,0.01082,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,1,0,10,0.005845,16.79,3.9747,0.997204,0.0175,0.7843,644.5657,0.086757,0.00467,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,2,1,10,0.004917,9.2027,3.1386,0.99842,0.0133,0.7582,652.7399,0.086262,0.003842,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,3,2,10,0.003769,3.5022,2.4362,1.0,0.0103,0.3937,652.1395,0.086869,0.006268,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,4,3,10,0.003312,3.8324,2.1815,0.999952,0.0137,0.3369,655.3641,0.086971,0.003905,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,5,4,10,0.003173,5.8303,2.0333,0.99943,0.0165,0.4088,647.4713,0.087727,0.003822,0.4971,2224.16
scan1_subset_middle,scan1,subset_middle,0,24,12,0.004126,6.3627,2.6412,0.999595,0.0,0.0,645.3492,0.0732,0.004699,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,1,0,12,0.005814,16.7319,3.9566,0.997233,0.0162,1.0505,644.5609,0.076874,0.001833,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,2,1,12,0.005041,9.1927,3.21,0.998459,0.0127,1.105,652.735,0.076721,0.001572,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,3,2,12,0.003914,3.5046,2.5257,1.0,0.0119,0.601,652.1346,0.076962,0.002145,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,4,3,12,0.003328,3.7745,2.1769,0.999952,0.0149,0.5389,655.3596,0.076855,0.001874,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,5,4,12,0.003206,5.4829,2.0457,0.999532,0.0177,0.5403,647.467,0.077487,0.002058,0.5157,2260.48
scan1_subset_middle,scan1,subset_middle,0,24,14,0.004108,6.4486,2.6289,0.999587,0.0,0.0,645.3443,0.068869,0.004663,0.5335,2297.95
scan1_subset_middle,scan1,subset_middle,1,0,14,0.005821,16.6886,3.9541,0.997242,0.0146,1.1409,644.5564,0.07136,0.001639,0.5335,2297.95
scan1_subset_middle,scan1,subset_middle,2,1,14,0.005006,9.1386,3.1903,0.998498,0.0115,1.2063,652.7304,0.071418,0.002147,0.5335,2297.95
scan1_subset_middle,scan1,subset_middle,3,2,14,0.003959,3.4829,2.5496,1.0,0.0117,0.7233,652.1299,0.071412,0.002279,0.5335,2297.95
scan1_subset_middle,scan1,subset_middle,4,3,14,0.003239,3.6881,2.1095,0.99996,0.0153,0.5436,655.355,0.071345,0.003301,0.5335,2297.95
