scene,subset,view_idx,frame_id,step_i,abs_rel,rmse,mae,delta1,geom_l2,rot_err_deg,trans_err_deg,hidden_delta_1step,hidden_delta_2step,depth_delta,abs_rel_16,future_gain,oracle_k_star_1pct,oracle_k_star_2pct,oracle_k_star_5pct,oracle_k_star_10pct,safe_to_halt_1pct,safe_to_halt_2pct,safe_to_halt_5pct,safe_to_halt_10pct
scan1,subset_middle,0,24,8,0.0036557468120008707,6.670477867126465,2.3901548385620117,0.9996281266212463,645.3838500976562,0.0,0.0,0.06302516907453537,0.12978443503379822,0.0,0.004100610502064228,-0.00044486369006335735,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,8,0.009107130579650402,18.01166534423828,6.28811502456665,0.9972519874572754,644.590576171875,0.0,1.31536865234375,0.06907843798398972,0.14175723493099213,0.0,0.006002626847475767,0.003104503732174635,10,10,10,9,0,0,0,0
scan1,subset_middle,2,1,8,0.006666087545454502,10.225929260253906,4.285360336303711,0.9983422160148621,652.76416015625,0.0,4.11765718460083,0.06821053475141525,0.14141610264778137,0.0,0.005082026124000549,0.0015840614214539528,9,9,9,9,0,0,0,0
scan1,subset_middle,3,2,8,0.006249202415347099,5.3496222496032715,4.02169942855835,1.0,652.1631469726562,0.0,3.2190535068511963,0.06961449235677719,0.14437781274318695,0.0,0.003950988873839378,0.002298213541507721,10,10,10,10,0,0,0,0
scan1,subset_middle,4,3,8,0.007507906295359135,6.5747857093811035,4.939772129058838,1.0,655.3831176757812,0.0,0.0,0.06951521337032318,0.14405906200408936,0.0,0.003305153688415885,0.00420275260694325,11,11,11,11,0,0,0,0
scan1,subset_middle,5,4,8,0.008883877657353878,8.93320083618164,5.920082092285156,0.9997252225875854,647.48779296875,0.0,1.2979965209960938,0.07116509228944778,0.14715877175331116,0.0,0.0032369771506637335,0.0056469005066901445,12,12,12,11,0,0,0,0
scan1,subset_middle,0,24,9,0.003171506803482771,6.26773738861084,2.0525054931640625,0.9996033310890198,645.3762817382812,0.0,0.0,0.0579182393848896,0.11554165929555893,0.00583183066919446,0.004100610502064228,-0.0009291036985814571,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,9,0.006369054317474365,17.162885665893555,4.398125648498535,0.9972424507141113,644.584228515625,0.0,1.7680182456970215,0.06303717195987701,0.1249798834323883,0.0039232103154063225,0.006002626847475767,0.0003664274699985981,10,10,10,9,0,0,0,1
scan1,subset_middle,2,1,9,0.004843836184591055,9.44672966003418,3.0901243686676025,0.9983577728271484,652.758544921875,0.0,0.7506924271583557,0.06253855675458908,0.12430592626333237,0.0033665539231151342,0.005082026124000549,-0.0002381899394094944,9,9,9,9,1,1,1,1
scan1,subset_middle,3,2,9,0.004454878158867359,4.07765007019043,2.8672077655792236,1.0,652.157958984375,0.0,3.512235641479492,0.06356824189424515,0.1264616996049881,0.00324427243322134,0.003950988873839378,0.0005038892850279808,10,10,10,10,0,0,0,0
scan1,subset_middle,4,3,9,0.005360947456210852,4.9771575927734375,3.5161983966827393,1.0,655.3790283203125,0.0,3.363481044769287,0.06328475475311279,0.12625649571418762,0.0032044195104390383,0.003305153688415885,0.0020557937677949667,11,11,11,11,0,0,0,0
scan1,subset_middle,5,4,9,0.006681135855615139,7.150732517242432,4.469696998596191,0.9997760653495789,647.48388671875,0.0,0.0,0.06511225551366806,0.12934979796409607,0.002986232517287135,0.0032369771506637335,0.0034441587049514055,12,12,12,11,0,0,0,0
scan1,subset_middle,0,24,10,0.0030388759914785624,6.063965797424316,1.9520424604415894,0.999595046043396,645.370849609375,0.0,0.0,0.05563714727759361,0.10960381478071213,0.004901599604636431,0.004100610502064228,-0.0010617345105856657,8,8,8,8,1,1,1,1
