scene,seq_view_idx,dtu_frame_id,K,depth_abs_rel,depth_rmse_mm,depth_mae_mm,depth_delta1,pose_rot_error_deg,pose_trans_error_deg,geom_l2_error_mm,hidden_state_delta,runtime_sec,peak_vram_mb
scan1,0,24,4,0.00624,7.6721,4.0162,0.999703,0.0,0.0,645.5071,0.173351,1.0618,2028.86
scan1,1,7,4,0.010312,8.6956,6.6573,1.0,0.0195,1.1018,653.7038,0.20527,1.0618,2028.86
scan1,2,15,4,0.010658,9.181,6.5584,0.999992,0.0097,3.2214,650.4039,0.199388,1.0618,2028.86
scan1,3,23,4,0.006535,5.7453,4.2009,1.0,0.0082,4.1852,648.6469,0.188896,1.0618,2028.86
scan1,4,32,4,0.005879,6.5556,3.74,1.0,0.0147,1.5642,642.4742,0.185514,1.0618,2028.86
scan1,5,40,4,0.007107,7.6668,4.5518,1.0,0.0439,1.7595,653.6395,0.215794,1.0618,2028.86
scan1,0,24,6,0.004713,7.2982,3.0637,0.999645,0.0,0.0,645.46,0.112287,0.465,2148.75
scan1,1,7,6,0.006965,5.6899,4.4337,1.0,0.0032,0.2037,653.6651,0.127831,0.465,2148.75
scan1,2,15,6,0.006136,5.4732,3.8863,0.999992,0.0029,0.4537,650.3596,0.123021,0.465,2148.75
scan1,3,23,6,0.004471,4.152,2.8856,1.0,0.005,0.5564,648.6004,0.12112,0.465,2148.75
scan1,4,32,6,0.00477,5.7489,3.0471,1.0,0.0048,1.3107,642.4348,0.11919,0.465,2148.75
scan1,5,40,6,0.005538,5.4642,3.5053,1.0,0.0099,0.6807,653.6037,0.133124,0.465,2148.75
scan1,0,24,8,0.00346,6.8085,2.2537,0.999579,0.0,0.0,645.4305,0.091091,0.5914,2184.47
scan1,1,7,8,0.004297,3.7139,2.8072,1.0,0.0051,0.3764,653.6385,0.098259,0.5914,2184.47
scan1,2,15,8,0.003844,3.8612,2.501,0.999992,0.0024,1.5196,650.3297,0.096483,0.5914,2184.47
scan1,3,23,8,0.003269,3.2411,2.12,1.0,0.0049,0.5286,648.5708,0.096515,0.5914,2184.47
scan1,4,32,8,0.00376,4.9007,2.3929,1.0,0.0042,0.9074,642.4075,0.095476,0.5914,2184.47
scan1,5,40,8,0.004084,3.8953,2.5688,1.0,0.013,0.6853,653.5761,0.10065,0.5914,2184.47
scan1,0,24,10,0.003111,6.769,2.0151,0.999537,0.0,0.0,645.4165,0.078888,0.6292,2219.84
scan1,1,7,10,0.003562,3.2877,2.3673,1.0,0.005,0.2463,653.6261,0.083422,0.6292,2219.84
scan1,2,15,10,0.003335,3.4248,2.1744,0.999992,0.003,1.3895,650.3157,0.082073,0.6292,2219.84
scan1,3,23,10,0.002986,2.9175,1.9299,1.0,0.0046,0.7863,648.5573,0.081826,0.6292,2219.84
scan1,4,32,10,0.003362,4.5573,2.1335,1.0,0.0046,0.6977,642.394,0.082018,0.6292,2219.84
scan1,5,40,10,0.003564,3.3617,2.2375,1.0,0.0138,0.6065,653.5637,0.084777,0.6292,2219.84
scan1,0,24,12,0.003132,6.8067,2.0283,0.999504,0.0,0.0,645.4094,0.072274,0.7567,2255.06
scan1,1,7,12,0.003455,3.2949,2.3121,1.0,0.0059,0.2084,653.6195,0.074922,0.7567,2255.06
scan1,2,15,12,0.003318,3.3476,2.1632,0.999992,0.0037,1.0276,650.3084,0.073882,0.7567,2255.06
scan1,3,23,12,0.003075,2.9629,1.99,1.0,0.0044,0.4116,648.5503,0.074015,0.7567,2255.06
scan1,4,32,12,0.003322,4.4997,2.1072,1.0,0.0057,0.6775,642.3869,0.074662,0.7567,2255.06
scan1,5,40,12,0.003249,3.1263,2.0442,1.0,0.015,0.6374,653.557,0.076143,0.7567,2255.06
scan1,0,24,14,0.003168,6.837,2.0485,0.999496,0.0,0.0,645.4026,0.067914,0.8421,2291.84
scan1,1,7,14,0.003276,3.1744,2.193,1.0,0.007,0.2624,653.6133,0.069467,0.8421,2291.84
scan1,2,15,14,0.003282,3.2808,2.1376,0.999985,0.0045,0.9078,650.302,0.068836,0.8421,2291.84
scan1,3,23,14,0.003108,2.9542,2.0099,1.0,0.0043,0.4392,648.5438,0.068949,0.8421,2291.84
scan1,4,32,14,0.003319,4.4635,2.1044,1.0,0.006,0.4954,642.3804,0.069619,0.8421,2291.84
scan1,5,40,14,0.003122,2.9863,1.9656,1.0,0.0145,0.6065,653.5504,0.07058,0.8421,2291.84
scan1,0,24,16,0.00318,6.8504,2.0532,0.999471,0.0,0.0,645.3989,0.064491,0.9113,2327.06
scan1,1,7,16,0.003,2.9372,2.0024,1.0,0.0074,0.2874,653.6099,0.065556,0.9113,2327.06
scan1,2,15,16,0.003129,3.1831,2.0339,0.999985,0.0046,0.9106,650.2986,0.065045,0.9113,2327.06
scan1,3,23,16,0.00307,2.8957,1.9826,1.0,0.0038,0.4817,648.5401,0.06528,0.9113,2327.06
scan1,4,32,16,0.003267,4.3844,2.0684,1.0,0.0063,0.3648,642.3766,0.065807,0.9113,2327.06
scan1,5,40,16,0.00299,2.8239,1.8791,1.0,0.0144,0.5908,653.5466,0.066494,0.9113,2327.06
scan10,0,24,4,0.01327,11.3902,9.3819,1.0,0.0,0.0,655.7744,0.184017,0.4774,2117.65
scan10,1,7,4,0.020947,20.0043,14.2158,1.0,0.0668,4.664,649.3837,0.247278,0.4774,2117.65
scan10,2,15,4,0.018484,17.0689,13.0674,1.0,0.0195,2.4246,652.1375,0.208535,0.4774,2117.65
scan10,3,23,4,0.014189,12.7928,10.1075,1.0,0.019,5.1747,659.4128,0.198304,0.4774,2117.65
scan10,4,32,4,0.011314,10.0417,7.9533,1.0,0.0117,3.8877,659.885,0.211669,0.4774,2117.65
scan10,5,40,4,0.007639,7.0992,4.8803,1.0,0.0634,1.1255,681.5201,0.281336,0.4774,2117.65
scan10,0,24,6,0.009343,8.0746,6.6108,1.0,0.0,0.0,655.672,0.121753,0.4957,2145.22
scan10,1,7,6,0.010648,9.1219,7.1347,1.0,0.038,2.7993,649.2932,0.157793,0.4957,2145.22
scan10,2,15,6,0.010825,9.4338,7.6045,1.0,0.0056,1.1508,652.0321,0.135224,0.4957,2145.22
scan10,3,23,6,0.008669,7.7475,6.1815,1.0,0.0073,1.2127,659.3078,0.129037,0.4957,2145.22
scan10,4,32,6,0.008398,7.2666,5.8997,1.0,0.0116,3.1108,659.7853,0.138039,0.4957,2145.22
scan10,5,40,6,0.00921,8.276,5.8894,1.0,0.069,0.6717,681.4078,0.170153,0.4957,2145.22
scan10,0,24,8,0.006079,5.3595,4.2924,1.0,0.0,0.0,655.6133,0.097405,0.607,2180.79
scan10,1,7,8,0.007192,5.8379,4.7911,1.0,0.023,0.6793,649.243,0.112134,0.607,2180.79
scan10,2,15,8,0.006233,5.4245,4.3577,1.0,0.0072,1.4441,651.9727,0.10325,0.607,2180.79
scan10,3,23,8,0.005085,4.6537,3.6077,1.0,0.0069,0.2832,659.2492,0.100553,0.607,2180.79
scan10,4,32,8,0.005663,4.8883,3.9466,1.0,0.0048,1.751,659.7258,0.103461,0.607,2180.79
scan10,5,40,8,0.007129,7.3424,4.6247,1.0,0.0262,0.2832,681.3492,0.117501,0.607,2180.79
scan10,0,24,10,0.004269,3.7731,2.9942,1.0,0.0,0.0,655.5845,0.082847,0.7408,2220.06
scan10,1,7,10,0.005302,4.516,3.5292,1.0,0.0135,0.2084,649.2182,0.090086,0.7408,2220.06
scan10,2,15,10,0.003936,3.4841,2.7324,1.0,0.0074,1.09,651.944,0.086921,0.7408,2220.06
scan10,3,23,10,0.003514,3.1728,2.4648,1.0,0.0047,0.1282,659.2213,0.085695,0.7408,2220.06
scan10,4,32,10,0.003967,3.5327,2.7466,1.0,0.0036,1.2859,659.6976,0.086216,0.7408,2220.06
scan10,5,40,10,0.006256,7.2201,4.0895,1.0,0.0134,0.3096,681.326,0.09289,0.7408,2220.06
scan10,0,24,12,0.003644,3.2274,2.5495,1.0,0.0,0.0,655.5646,0.074203,0.778,2256.97
scan10,1,7,12,0.00433,3.9753,2.8919,1.0,0.0086,0.3128,649.1987,0.078077,0.778,2256.97
scan10,2,15,12,0.00344,3.0729,2.3803,1.0,0.0067,0.8391,651.9241,0.076699,0.778,2256.97
scan10,3,23,12,0.003222,2.8927,2.2519,1.0,0.0041,0.3443,659.2018,0.076258,0.778,2256.97
scan10,4,32,12,0.003586,3.2545,2.4835,1.0,0.0043,0.93,659.6781,0.076873,0.778,2256.97
